cikarilan_kaynak_satir,egim,LOOCV_hatasi
1,0.8555969614447476,8.714633796760786
2,0.5821676743976179,0.02174893962638791
3,0.5818013897440409,-0.737443926466705
4,0.5814314892105494,0.11384424118639025
5,0.5844877790523244,0.8741727697873483
6,0.5820652651948287,0.27953206086727356
7,0.5827236668135733,-0.3130013221683612
8,0.590059624454926,1.4804663166325494
9,0.562202032922551,2.630116038499594
10,0.5820652651948282,0.27953206086727533
11,0.5814314892105498,0.11384424118639025
12,0.5900596244549261,1.4804663166325511
13,0.581801389744041,-0.7374439264667032
14,0.5820652651948283,0.27953206086727533
15,0.5763697717787042,1.1405736613089417
16,0.5631514696215605,1.4819231852756136
17,0.5803437637725871,0.7061260467166175
18,0.5803437637725871,0.7061260467166175
19,0.5435342843994475,-3.615094339622633
20,0.5818013897440409,-0.7374439264667014
21,0.5823291406456154,1.2965080482012539
22,0.581575928703785,-0.14603370687372674
23,0.5823291406456155,1.2965080482012539
24,0.5732401886624547,-1.606300614042894
25,0.5732401886624547,-1.606300614042894
26,0.5844531458574356,0.4515440064074028
27,0.5815759287037852,-0.14603370687372497
28,0.5786640783552455,-1.1662401835348035
29,0.5820652651948283,0.27953206086727533
30,0.581801389744041,-0.737443926466705
31,0.5788466672599453,-0.5773783038177474
32,0.5778537375191148,0.5500584690114199
33,0.5779638607315988,1.7252534156015855
34,0.5851035698545605,-1.3321286910533292
35,0.5818013897440415,-0.737443926466705
36,0.5786640783552455,-1.1662401835348053
37,0.5814314892105485,0.11384424118639558
38,0.5827236668135743,-0.3130013221683505
39,0.5815759287037852,-0.14603370687372497
40,0.5915549240742382,-1.9396145990587037
41,0.5757522280067058,-2.186446660195882
42,0.5788466672599452,-0.5773783038177474
43,0.5763697717787042,1.1405736613089417
44,0.5737749300604635,-1.0216586950636177
45,0.5788466672599453,-0.5773783038177456
46,0.5788466672599453,-0.5773783038177456
47,0.5827236668135743,-0.3130013221683505
48,0.5631514696215614,1.4819231852756083
49,0.5844877790523249,0.8741727697873536
50,0.5851035698545605,-1.3321286910533292
51,0.586493206642393,-0.9128851789361523
52,0.5718409236690183,1.0032071840923713
53,0.5676337100649644,-2.635222924268046
54,0.5851035698545616,-1.3321286910533239
55,0.5827236668135743,-0.3130013221683523
56,0.581801389744041,-0.7374439264667032
57,0.5778537375191152,0.550058469011427
58,0.5700278852208333,1.590087253755513
59,0.5814314892105498,0.11384424118639558
60,0.5718409236690188,1.0032071840923695
