item,loading,loading_std,theta,R2_item
A1,1.0,0.29857706422588004,0.9108517341777662,0.0891482632817453
A2,1.858553760694362,0.5549215219871128,0.6920621114521459,0.3079378955644936
A3,2.436958694748456,0.7276199730503704,0.47056917307543983,0.5294308251818216
A4,1.0470431665923232,0.31262307455481175,0.9022668121483155,0.09773318674410336
A5,2.691586089201008,0.8036458722157281,0.35415331144343093,0.6458466879293782
C1,1.0,0.6613795893249214,0.5625770337280961,0.43742296117560164
C2,1.018781392986566,0.6738012164805138,0.5459919203013013,0.45400807933062015
C3,0.9967739189182572,0.6592459227449444,0.5653948123372976,0.43460518665583314
C4,0.8203422405887204,0.5425576115909552,0.7056312384637363,0.2943687618952817
C5,0.6479130810100445,0.428516485545046,0.8163736214282322,0.18362637838387752
