kaynak_satir,school,age,G1,G3,age_c,hedef14,G3_tahmin,artik,kaldirac,cook,hedef14_olasilik
1,GP,18,0,11,2,0,6.306585358174537,4.693414641825463,0.4534916212110479,6.482701952086349,1.2142684577947602e-10
2,GP,17,9,11,1,0,11.558421292907347,-0.5584212929073473,0.10136996544585863,0.007587067850614358,0.0004802764902124132
3,GP,15,12,12,-1,0,12.46664816957503,-0.46664816957503064,0.028593748770140186,0.0012789425365075352,0.11468928632666442
4,GP,15,14,14,-1,1,13.746040835281423,0.2539591647185766,0.029679960959329992,0.0003940612164466607,0.7791932778768773
5,GP,16,11,13,0,0,12.332382897667788,0.6676171023322119,0.026185191307154063,0.0023853960644889313,0.01770544016311792
6,GP,16,12,13,0,0,12.972079230520983,0.027920769479017338,0.027554763197871632,4.402747018366709e-06,0.0859847293914289
7,GP,16,13,13,0,0,13.611775563374177,-0.6117755633741773,0.0352999283729643,0.0027515413468622626,0.3293037332349694
8,GP,17,10,13,1,0,12.198117625760542,0.8018823742394581,0.10037820649051139,0.015457648259533182,0.0025015838392365435
9,GP,15,15,17,-1,1,14.385737168134618,2.614262831865382,0.039786456980487515,0.05716111591480013,0.9485006398075972
10,GP,15,12,13,-1,0,12.46664816957503,0.5333518304249694,0.028593748770140193,0.0016707038690329085,0.11468928632666442
11,GP,15,14,14,-1,1,13.746040835281423,0.2539591647185766,0.029679960959329992,0.0003940612164466607,0.7791932778768773
12,GP,15,10,13,-1,0,11.187255503868638,1.8127444961313621,0.0530099097184507,0.03764800569835724,0.004733265250983291
13,GP,15,12,12,-1,0,12.46664816957503,-0.46664816957503064,0.028593748770140193,0.0012789425365075354,0.11468928632666442
14,GP,15,12,13,-1,0,12.46664816957503,0.5333518304249694,0.028593748770140193,0.0016707038690329085,0.11468928632666442
15,GP,15,14,15,-1,1,13.746040835281423,1.2539591647185766,0.029679960959329992,0.009607329845265735,0.7791932778768773
16,GP,16,17,17,0,1,16.170560894786963,0.8294391052130372,0.13003652191708578,0.022910517891220315,0.9972626694472517
17,GP,16,13,14,0,1,13.611775563374177,0.38822443662582273,0.0352999283729643,0.0011080453327847845,0.3293037332349694
18,GP,16,13,14,0,1,13.611775563374177,0.38822443662582273,0.0352999283729643,0.0011080453327847845,0.3293037332349694
19,GP,17,8,7,1,0,10.918724960054153,-3.9187249600541527,0.10873731768558104,0.40743593086238555,9.205705769323406e-05
20,GP,16,12,12,0,0,12.972079230520983,-0.9720792305209827,0.027554763197871632,0.005336693904482436,0.0859847293914289
21,GP,15,12,14,-1,1,12.46664816957503,1.5333518304249694,0.028593748770140193,0.013808786993602268,0.11468928632666442
22,GP,15,11,12,-1,0,11.826951836721836,0.17304816327816397,0.03761403260210791,0.00023571537456551145,0.024220109699484436
23,GP,16,12,14,0,1,12.972079230520983,1.0279207694790173,0.027554763197871632,0.005967442569439598,0.0859847293914289
24,GP,16,10,10,0,0,11.69268656481459,-1.69268656481459,0.031191212700811564,0.018454904634022194,0.0034416352391042327
25,GP,15,10,10,-1,0,11.187255503868638,-1.1872555038686379,0.0530099097184507,0.01614942888214697,0.004733265250983291
26,GP,16,10,12,0,0,11.69268656481459,0.3073134351854101,0.031191212700811564,0.0006083055873396594,0.0034416352391042327
27,GP,15,11,12,-1,0,11.826951836721836,0.17304816327816397,0.03761403260210791,0.00023571537456551145,0.024220109699484436
28,GP,15,11,11,-1,0,11.826951836721836,-0.826951836721836,0.03761403260210791,0.005382875739141407,0.024220109699484436
29,GP,16,12,13,0,0,12.972079230520983,0.027920769479017338,0.027554763197871632,4.402747018366709e-06,0.0859847293914289
30,GP,16,12,12,0,0,12.972079230520983,-0.9720792305209827,0.027554763197871632,0.005336693904482436,0.0859847293914289
31,GP,15,10,11,-1,0,11.187255503868638,-0.18725550386863787,0.0530099097184507,0.0004017334256858649,0.004733265250983291
32,GP,15,15,15,-1,1,14.385737168134618,0.614262831865382,0.039786456980487515,0.003155808757579609,0.9485006398075972
33,GP,15,13,15,-1,1,13.106344502428225,1.8936554975717748,0.02594905822254755,0.01900915424683955,0.4033874614251766
34,GP,15,13,12,-1,0,13.106344502428225,-1.1063445024282252,0.02594905822254755,0.00648845972030445,0.4033874614251766
35,GP,16,12,12,0,0,12.972079230520983,-0.9720792305209827,0.027554763197871632,0.005336693904482436,0.0859847293914289
36,GP,15,11,11,-1,0,11.826951836721836,-0.826951836721836,0.03761403260210791,0.005382875739141407,0.024220109699484436
37,GP,15,14,14,-1,1,13.746040835281423,0.2539591647185766,0.029679960959329992,0.0003940612164466607,0.7791932778768773
38,GP,16,13,13,0,0,13.611775563374177,-0.6117755633741773,0.0352999283729643,0.0027515413468622626,0.3293037332349694
39,GP,15,11,12,-1,0,11.826951836721836,0.17304816327816397,0.03761403260210791,0.00023571537456551145,0.024220109699484436
40,GP,15,14,12,-1,0,13.746040835281423,-1.7460408352814234,0.029679960959329992,0.018627076862809726,0.7791932778768773
41,GP,16,11,10,0,0,12.332382897667788,-2.332382897667788,0.026185191307154063,0.02911422862247832,0.01770544016311792
42,GP,15,10,11,-1,0,11.187255503868638,-0.18725550386863787,0.0530099097184507,0.0004017334256858649,0.004733265250983291
43,GP,15,14,15,-1,1,13.746040835281423,1.2539591647185766,0.029679960959329992,0.009607329845265735,0.7791932778768773
44,GP,15,9,10,-1,0,10.547559171015443,-0.5475591710154433,0.07478138011916857,0.005076559156931421,0.0009103804289950996
45,GP,16,10,11,0,0,11.69268656481459,-0.6926865648145899,0.031191212700811564,0.0030905248468174637,0.0034416352391042327
46,GP,15,10,11,-1,0,11.187255503868638,-0.18725550386863787,0.0530099097184507,0.0004017334256858649,0.004733265250983291
47,GP,16,13,13,0,0,13.611775563374177,-0.6117755633741773,0.0352999283729643,0.0027515413468622626,0.3293037332349694
48,GP,16,17,17,0,1,16.170560894786963,0.8294391052130372,0.13003652191708578,0.022910517891220315,0.9972626694472517
49,GP,15,11,13,-1,0,11.826951836721836,1.173048163278164,0.03761403260210791,0.010831425324417594,0.024220109699484436
50,GP,15,13,12,-1,0,13.106344502428225,-1.1063445024282252,0.02594905822254755,0.00648845972030445,0.4033874614251766
51,GP,16,14,13,0,0,14.251471896227375,-1.2514718962273754,0.04942068683243202,0.01660262853378703,0.7193027920815559
52,GP,15,16,16,-1,1,15.025433500987813,0.9745664990121874,0.05626854628602011,0.011630392763674549,0.9897040443704647
53,GP,15,10,9,-1,0,11.187255503868638,-2.187255503868638,0.0530099097184507,0.054811012067139266,0.004733265250983291
