tekrar,ab
1,0.46739979991014696
2,0.5170572404069199
3,0.5062747073029845
4,0.5389433542663237
5,0.6772386327721723
6,0.5217590025792486
7,0.4109265193058744
8,0.4121664589549342
9,0.4856495195958458
10,0.632999994959565
11,0.5165917450064264
12,0.4826032194635137
13,0.46720964178496344
14,0.588489897349122
15,0.5465292310402198
16,0.5065001618365537
17,0.39215983904612106
18,0.5440135094462448
19,0.6551617159720221
20,0.567813163746711
21,0.4586447081239345
22,0.5187092036630893
23,0.4142901135720136
24,0.6962319462664387
25,0.43228317812915773
26,0.5897029237676691
27,0.5392406820697174
28,0.5791883031393699
29,0.48203436597474963
30,0.4630186682517052
31,0.5066896593808148
32,0.5458862118874853
33,0.46909334983768736
34,0.48216629341155814
35,0.606385790754376
36,0.513921464577525
37,0.5969573364035899
38,0.5774875448880922
39,0.34784446518704687
40,0.6211338665527645
41,0.5148586409718073
42,0.40460034987514065
43,0.6018023129354784
44,0.4533195850299377
45,0.7670455463562896
46,0.4934901705928685
47,0.605668464134955
48,0.48984550817483274
49,0.4964777816974535
50,0.6169984750293447
51,0.5841815046945606
52,0.5339954986318548
53,0.49477517946395594
54,0.4578541782366137
55,0.4557193594891597
56,0.49886284226901717
57,0.6051680827370224
58,0.3640719859372591
59,0.6026537962011843
60,0.43407033280976515
61,0.4243076011917412
62,0.48075195596940684
63,0.46877328246677674
64,0.4056031237713072
65,0.4222439652026707
66,0.4514872530573094
67,0.49089382646467805
68,0.5337989555938409
69,0.48507119351689826
70,0.5520121833182042
71,0.43552863527767827
72,0.5477701343008807
73,0.5222714842282467
74,0.5382199230555205
75,0.3844978576034612
76,0.511278242237398
77,0.5805356593326584
78,0.777503666887756
79,0.6234602187339807
80,0.5137612634724449
81,0.5523389204749324
82,0.5491414929767142
83,0.5801364291406887
84,0.6824449896659995
85,0.524736671191033
86,0.47963585981176055
87,0.5889441555590397
88,0.6458770715373714
89,0.646183867277326
90,0.5441756777655801
91,0.4988918468984689
92,0.47425470826973526
93,0.5167971845117781
94,0.568444189597848
95,0.5491157309914974
96,0.5696600262903709
97,0.5499337931778172
