kaynak_satir,A_z99
1,-0.6570781595040612
2,-0.42392139322842637
3,-0.8902349257796962
4,0.04239213932284243
5,-0.6570781595040612
6,0.04239213932284243
7,0.04239213932284243
8,-2.2891755234335043
9,-1.1233916920553306
10,0.975019204425382
11,0.04239213932284243
12,0.5087056718741123
13,-0.19076462695279145
14,0.27554890559847733
15,-2.2891755234335043
16,-0.42392139322842637
17,-0.19076462695279145
18,-0.42392139322842637
19,-0.8902349257796962
20,0.04239213932284243
21,-2.7554890559847736
22,0.27554890559847733
23,1.208175970701016
24,0.975019204425382
25,0.27554890559847733
26,0.5087056718741123
27,-0.6570781595040612
28,1.208175970701016
29,-0.8902349257796962
30,0.27554890559847733
31,0.7418624381497472
32,1.208175970701016
33,0.7418624381497472
34,0.5087056718741123
35,-0.8902349257796962
36,-1.5897052246066
37,0.7418624381497472
38,-0.8902349257796962
39,1.6744895032522857
40,0.04239213932284243
41,0.975019204425382
42,-0.8902349257796962
43,0.27554890559847733
44,-0.6570781595040612
45,1.4413327369766509
46,1.6744895032522857
47,-1.3565484583309655
48,0.5087056718741123
49,-0.8902349257796962
50,1.6744895032522857
51,1.208175970701016
52,0.7418624381497472
53,-0.19076462695279145
54,-0.6570781595040612
55,1.6744895032522857
56,0.04239213932284243
57,-1.5897052246066
58,-0.8902349257796962
59,0.5087056718741123
60,-0.42392139322842637
61,-0.42392139322842637
62,-0.42392139322842637
63,1.208175970701016
64,-0.6570781595040612
65,1.4413327369766509
66,
67,-0.19076462695279145
68,-2.522332289709139
69,0.04239213932284243
70,0.975019204425382
71,0.27554890559847733
72,-0.19076462695279145
73,-0.8902349257796962
74,0.5087056718741123
75,0.04239213932284243
76,0.7418624381497472
77,1.4413327369766509
78,0.5087056718741123
79,-1.5897052246066
80,0.5087056718741123
81,0.5087056718741123
82,-0.8902349257796962
83,0.27554890559847733
84,1.4413327369766509
85,0.5087056718741123
86,-0.19076462695279145
87,0.7418624381497472
88,0.975019204425382
89,0.7418624381497472
90,-0.19076462695279145
91,0.7418624381497472
92,0.27554890559847733
93,0.04239213932284243
94,0.975019204425382
95,0.5087056718741123
96,-1.1233916920553306
97,-2.7554890559847736
98,0.7418624381497472
99,-0.8902349257796962
100,-0.6570781595040612
