,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,0.9999999978755071,0.16575766061798172,0.21762920691965632,0.09365536063917454,0.2392730518296861,0.050006840950500744,0.04957390113891353,0.05019686488769469,0.04366155052628319,0.03263111385405492
A2,0.16575766061798172,1.0000000058452525,0.4049075537750783,0.1742494195107312,0.44517676405641116,0.27859582042203856,0.27618384598594303,0.2796544730718785,0.24324522922390981,0.18179296597547517
A3,0.21762920691965632,0.4049075537750783,0.9999999940388082,0.22877834323282606,0.584488618742883,0.12215512432907796,0.12109755269475311,0.12261930877329037,0.1066550502203846,0.07971024951934028
A4,0.09365536063917454,0.17424941951073117,0.22877834323282606,0.9999999977121455,0.2515310015262181,0.052568689583960854,0.052113570281655905,0.05276844844050927,0.04589833016331779,0.03430280462368461
A5,0.2392730518296861,0.44517676405641116,0.584488618742883,0.2515310015262181,1.0000000001390716,0.13430379960739222,0.1331410494597669,0.13481414851758963,0.11726219895062677,0.08763766102239876
C1,0.05000684095050074,0.27859582042203856,0.12215512432907795,0.05256868958396086,0.13430379960739222,1.000000007306738,0.428075727816673,0.43345508376882275,0.3770219730492798,0.28177301950478334
C2,0.04957390113891352,0.27618384598594303,0.12109755269475311,0.052113570281655905,0.1331410494597669,0.428075727816673,1.0000000022829625,0.4297023979616119,0.3737578632020338,0.27933353811271716
C3,0.050196864887694675,0.2796544730718785,0.12261930877329037,0.05276844844050927,0.13481414851758963,0.43345508376882275,0.4297023979616119,1.000000001629438,0.3784546410276144,0.28284374538035556
C4,0.043661550526283184,0.24324522922390984,0.1066550502203846,0.0458983301633178,0.11726219895062677,0.3770219730492798,0.3737578632020338,0.3784546410276144,1.0000000037273329,0.24601927844690785
C5,0.03263111385405492,0.18179296597547517,0.07971024951934028,0.03430280462368462,0.08763766102239876,0.28177301950478334,0.27933353811271716,0.28284374538035556,0.24601927844690785,0.9999999943097017
